Name,LastLogonDate,DistinguishedName
ASR-1103,7/17/2021 22:46,"CN=ASR-1103,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-1113,7/11/2021 22:29,"CN=ASR-1113,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-1115L,11/22/2021 11:27,"CN=ASR-1115L,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-1116,7/30/2021 13:42,"CN=ASR-1116,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-1117,7/11/2021 3:04,"CN=ASR-1117,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-1122,8/11/2021 10:26,"CN=ASR-1122,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-1127L,1/17/2021 20:39,"CN=ASR-1127L,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-1128L,5/13/2020 8:01,"CN=ASR-1128L,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-1138L,8/20/2021 21:34,"CN=ASR-1138L,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-ASUS-1126T,5/13/2020 8:07,"CN=ASR-ASUS-1126T,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-COM-T1143,1/4/2022 9:17,"CN=ASR-COM-T1143,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-L1105,11/19/2020 9:40,"CN=ASR-L1105,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-LCONF,7/21/2020 8:43,"CN=ASR-LCONF,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
ASR-PUB-1,10/29/2021 8:20,"CN=ASR-PUB-1,OU=Computers,OU=Assessors,DC=co,DC=yakima,DC=wa,DC=us"
AUD-1322,11/16/2020 7:54,"CN=AUD-1322,OU=Win7-Win10,OU=Computers,OU=Auditors,DC=co,DC=yakima,DC=wa,DC=us"
AUD-AP-1312,11/12/2020 17:02,"CN=AUD-AP-1312,OU=Win7-Win10,OU=Computers,OU=Auditors,DC=co,DC=yakima,DC=wa,DC=us"
AUD-AP-1318,11/9/2020 8:52,"CN=AUD-AP-1318,OU=Win7-Win10,OU=Computers,OU=Auditors,DC=co,DC=yakima,DC=wa,DC=us"
AUD-AP-1403,7/11/2022 16:30,"CN=AUD-AP-1403,OU=Win7-Win10,OU=Computers,OU=Auditors,DC=co,DC=yakima,DC=wa,DC=us"
AUD-AP-1404,2/11/2021 10:21,"CN=AUD-AP-1404,OU=Win7-Win10,OU=Computers,OU=Auditors,DC=co,DC=yakima,DC=wa,DC=us"
AUD-EL-FIELD1,7/27/2021 12:00,"CN=AUD-EL-FIELD1,OU=DART-10-8-2020,OU=Win7-Win10,OU=Computers,OU=Auditors,DC=co,DC=yakima,DC=wa,DC=us"
